timestamp,est_x,est_y,est_z,est_qx,est_qy,est_qz,est_qw,meas_x,meas_y,meas_z,meas_qx,meas_qy,meas_qz,meas_qw,imu_x,imu_y,imu_z,gnss_age
1743698974.2404478,507.08699355538334,460.1570070832936,-14.656192838791968,-0.04072129214679125,-0.1589686737326233,-0.738012378850763,0.6545291940017837,506.82140512880403,460.60462006460557,-14.733248902879085,0.19691570967016167,-0.04791780430882242,-0.7563195867396568,0.6220199112803966,508.46674385445186,459.61310537693,-7.711973622754449,89.29999542236328
1743698974.3403945,507.2014184086077,460.9439346356541,-14.658879123284342,-0.0443620813898187,-0.16064113143270203,-0.733038495277829,0.6594550758524802,506.9245391165851,461.3803582553058,-14.732664791016717,0.20025299208389669,-0.04389723724408681,-0.7523448375681667,0.626058317657638,508.58014913555604,460.3878038569742,-7.71461951059734,89.4000015258789
1743698974.440346,507.2996696333082,461.7283689789953,-14.664010694283013,-0.04692468876277257,-0.16297048047617305,-0.7277667142432152,0.6645256245755439,507.01448544302656,462.1589087570559,-14.73839493738019,0.20267885792945317,-0.04056756736222557,-0.7480861902704944,0.6305890935889243,508.67908067909804,461.1266060276358,-7.712701094274327,89.5
1743698974.5402946,507.39076816179585,462.51700105254173,-14.66360334863571,-0.045166187220922714,-0.16267842870331134,-0.7220709559846861,0.6709018399810122,507.0964064491112,462.9423518724158,-14.737199088882937,0.20304265979369274,-0.03872717131408028,-0.7423494415368803,0.6373313040764548,508.7362971225027,461.56283702727626,-7.710005851628008,89.5999984741211
1743698974.6402311,507.4743628101072,463.3180793930142,-14.667516435028494,-0.04540237348664409,-0.1605771279982997,-0.7162269790789397,0.6776227009811973,507.17447045849707,463.7335001771319,-14.739276488863837,0.20299919834677047,-0.03697355065152155,-0.7354539265376437,0.6453927517125907,508.8622623157318,462.754943156668,-7.703361431452133,89.69999694824219
1743698974.7402015,507.5408615564308,464.11800048499305,-14.671698208622768,-0.04788328289184985,-0.1603042773675723,-0.7114715600086112,0.6825085707711462,507.23062164702617,464.52261460150714,-14.73743141878249,0.2038813332850401,-0.0349098451022624,-0.7308122917921163,0.6504822048437644,508.917918317632,463.50553186001235,-7.703532036616328,89.79999542236328
1743698974.8401468,507.587766481212,464.9132921838794,-14.677918920239481,-0.04681604712246754,-0.1601437766243234,-0.7061109735559453,0.6881638769684159,507.2662177159874,465.3083813381672,-14.742853808174853,0.20622220081408044,-0.031595511066466506,-0.7269870721635957,0.6541895172492821,508.98167146830923,464.37064539490734,-7.706111031576105,89.9000015258789
1743698974.9400995,507.62481249442254,465.7112712252635,-14.687479702279225,-0.050303180467578826,-0.15972018998717188,-0.7010298340228591,0.6931927745982287,507.29768064172487,466.0947427810394,-14.750728804809901,0.2071260858745707,-0.02967607211098873,-0.7231920907814957,0.6581879025972995,509.03709238765623,465.1985473124023,-7.7027652568209275,90.0
1743698975.04005,507.6485745100576,466.5050968930307,-14.699743269660425,-0.053286942776140434,-0.1596198274015149,-0.6959686739760199,0.6980756529731885,507.3138420511872,466.87909846410764,-14.762893704346403,0.20738836089593232,-0.028386675784462786,-0.7193900684118439,0.6623157810842262,509.0691069027707,465.8341214910552,-7.703970100594894,90.0999984741211
1743698975.1399937,507.6593820265879,467.29907785134446,-14.712013306851057,-0.05178771763694483,-0.15645961077140255,-0.6912948899528712,0.7035266857939825,507.3155422017027,467.66575426972923,-14.773484918907425,0.20868688920993025,-0.025541415667177436,-0.7138013207228627,0.6680457266474321,509.0870072110731,466.5119631153788,-7.703258894984548,90.19999694824219
